1;Charmander;FIRE,NORMAL;100,100,100,100,100,100;1,4,7,12
2;Pikachu;WATER,GRASS;100,100,100,100,100,100;2,5,10,12
3;Itadoray;NORMAL,FIRE;100,100,100,100,100,100;1,4,11,12
4;Cleffa;GRASS,FIRE;100,100,100,100,100,100;1,4,7,9
5;Eevee;GRASS,NORMAL;100,100,100,100,100,100;3,6,9,10
6;Toji's Worm;GRASS,WATER;100,100,100,100,100,100;1,4,8,11
7;Lala;WATER,NORMAL;100,100,100,100,100,100;3,6,7,12
8;Nue;FIRE,GRASS;100,100,100,100,100,100;2,5,11,12
9;Bulbasaur;GRASS,WATER,NORMAL;100,100,100,100,100,100;2,5,9,11
10;Nidoran;GRASS,WATER;100,100,100,100,100,100;3,6,8,12
